ID,Age,Gender,Marital Status,Income Level,Purchase History,Coverage,Premium,Education Level,Geographic Information,Occupation,Behavioral Data,Interactions with Customer Service,Insurance Products Owned,Policy Type,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language
1307,27,Female,Married,1828.502739,2/24/2025,29531,931.38,High School Diploma,Arunachal Pradesh,Lawyer,policy2,In-Person,policy5,Group,Text,Phone,Weekends,German
1308,39,Female,Married,3106.576043,1/3/2022,48453.2,897.471,Master's Degree,Uttar Pradesh,Salesperson,policy2,Phone,policy5,Business,Email,In-Person Meeting,Morning,Mandarin
1309,33,Male,Single,7517.882839,10/28/2023,41070.4,110.47,High School Diploma,Haryana,Manager,policy1,Mobile App,policy3,Individual,In-Person Meeting,In-Person Meeting,Weekends,German
1310,64,Male,Single,5705.163455,5/21/2005,10856,84.349,High School Diploma,Uttar Pradesh,Engineer,policy1,In-Person,policy2,Family,Phone,Phone,Weekends,Mandarin
1311,66,Male,Widowed,3829.124762,10/8/2010,43265,424.176,Bachelor's Degree,Andhra Pradesh,Doctor,policy4,Mobile App,policy4,Group,Phone,Email,Morning,German
1312,66,Female,Married,3971.746222,1/18/2007,42741.1,366.411,Master's Degree,Himachal Pradesh,Entrepreneur,policy2,Phone,policy2,Family,Text,Email,Morning,German
1313,77,Female,Married,5291.575856,5/2/2008,28211.7,160.416,Doctorate,Himachal Pradesh,Salesperson,policy4,In-Person,policy4,Family,Email,Email,Morning,Spanish
1314,38,Female,Married,2215.943551,12/7/2021,37760.2,472.418,Master's Degree,Arunachal Pradesh,Teacher,policy2,Mobile App,policy2,Group,Email,Mail,Afternoon,English
1315,62,Female,Married,4421.384068,8/3/1999,44778.3,334.489,Associate Degree,Goa,Entrepreneur,policy1,In-Person,policy2,Individual,Phone,Mail,Afternoon,English
1316,45,Male,Single,7495.096792,9/26/2023,22916.6,73.729,Doctorate,Gujarat,Lawyer,policy4,In-Person,policy1,Business,Mail,Email,Afternoon,Spanish
1317,32,Male,Divorced,10529.55208,9/28/2023,31012.3,62.298,Master's Degree,Arunachal Pradesh,Salesperson,policy5,Email,policy1,Business,Mail,Phone,Anytime,Mandarin
1318,27,Male,Single,1930.345345,5/25/2024,39965.2,1522.13,Doctorate,Lakshadweep,Entrepreneur,policy3,Mobile App,policy2,Business,Phone,Mail,Evening,French
1319,29,Female,Divorced,4806.311621,5/10/2022,10773,39.14,Associate Degree,Chandigarh,Nurse,policy5,Phone,policy2,Group,In-Person Meeting,Phone,Afternoon,Mandarin
1320,36,Male,Divorced,8212.916018,2/4/2021,8831.4,19.734,Associate Degree,Bihar,Salesperson,policy1,Mobile App,policy2,Group,Mail,In-Person Meeting,Morning,Mandarin
1321,48,Male,Divorced,7040.736275,10/23/2022,12947.2,31.841,Associate Degree,Rajasthan,Nurse,policy4,Chat,policy2,Family,Email,Email,Afternoon,Mandarin
1322,33,Female,Widowed,4276.952372,11/10/2021,9113.9,88.025,Associate Degree,Andaman and Nicobar Islands,Doctor,policy3,Email,policy4,Group,Mail,Text,Evening,English
1323,26,Female,Single,1300.398533,8/25/2023,5401.4,170.697,Doctorate,Arunachal Pradesh,Artist,policy1,Chat,policy3,Group,Phone,Phone,Anytime,Mandarin
1324,39,Female,Single,3927.526672,6/22/2017,20348.4,406.951,Doctorate,West Bengal,Salesperson,policy2,Mobile App,policy4,Group,Email,In-Person Meeting,Morning,Spanish
1325,41,Male,Married,1484.019206,1/10/2021,30366.1,764.796,Master's Degree,Assam,Nurse,policy3,Phone,policy5,Individual,Email,Mail,Morning,German
1326,42,Female,Divorced,3631.767048,3/14/2016,25492.3,414.926,Associate Degree,Puducherry,Nurse,policy5,Chat,policy2,Individual,Text,In-Person Meeting,Evening,German
1327,45,Female,Divorced,3891.055971,11/25/2018,13081.1,143.791,Doctorate,Goa,Nurse,policy3,Chat,policy2,Individual,Phone,Phone,Weekends,Mandarin
1328,37,Female,Married,3424.669615,9/9/2018,37703.1,664.292,High School Diploma,Telangana,Entrepreneur,policy3,Phone,policy2,Individual,Email,Text,Anytime,German
1329,24,Female,Married,2069.058183,12/7/2024,35055.7,1726.924,Bachelor's Degree,Dadra and Nagar Haveli,Lawyer,policy1,Chat,policy3,Group,In-Person Meeting,Text,Weekends,Mandarin
1330,28,Female,Divorced,4105.855843,3/6/2018,10100.1,226.075,High School Diploma,Andaman and Nicobar Islands,Entrepreneur,policy1,Chat,policy5,Group,Mail,Mail,Anytime,Spanish
1331,50,Male,Separated,11483.64892,9/1/2020,10878.4,25.21,Associate Degree,Mizoram,Doctor,policy3,Phone,policy2,Group,Text,Mail,Weekends,German
1332,23,Female,Married,1830.004381,4/1/2024,14384.8,571.557,Associate Degree,Arunachal Pradesh,Entrepreneur,policy3,Phone,policy3,Group,Text,Text,Weekends,Mandarin
1333,46,Female,Divorced,5243.794445,9/28/1992,25212.3,247.108,Master's Degree,Andaman and Nicobar Islands,Lawyer,policy1,Chat,policy3,Group,Email,In-Person Meeting,Morning,Mandarin
1334,41,Male,Divorced,8362.980841,11/6/2020,41005.5,123.735,Associate Degree,Uttar Pradesh,Nurse,policy3,Mobile App,policy4,Family,In-Person Meeting,Mail,Evening,German
1335,29,Male,Divorced,1413.38444,9/8/2024,22661.5,735.189,Master's Degree,Arunachal Pradesh,Salesperson,policy5,Mobile App,policy2,Individual,Text,In-Person Meeting,Afternoon,Mandarin
1336,65,Female,Single,3884.728661,6/30/2017,32427,207.427,Doctorate,Maharashtra,Entrepreneur,policy5,Chat,policy5,Group,Mail,Email,Afternoon,Mandarin
1337,38,Female,Married,2083.485719,3/7/2019,46309,922.697,Bachelor's Degree,Rajasthan,Manager,policy1,Mobile App,policy2,Individual,Phone,Email,Anytime,German
1338,58,Female,Widowed,6403.401246,6/13/1976,31690.7,276.437,Master's Degree,Uttarakhand,Lawyer,policy4,Chat,policy1,Family,Mail,Text,Morning,English
1339,43,Male,Divorced,7202.761897,9/7/2021,6518.5,26.54,Associate Degree,Chandigarh,Salesperson,policy5,Phone,policy4,Business,Text,Mail,Weekends,Mandarin
1340,29,Female,Single,1344.891286,11/9/2022,6525.4,301.704,Doctorate,Madhya Pradesh,Doctor,policy3,Mobile App,policy2,Business,Email,Phone,Weekends,Spanish
1341,46,Female,Married,3446.407751,8/4/2020,18106,281.392,Doctorate,Goa,Salesperson,policy2,In-Person,policy1,Group,Email,Phone,Morning,German
1342,39,Male,Divorced,2564.669142,2/9/2023,43339.5,612.172,Bachelor's Degree,Delhi,Lawyer,policy5,Email,policy2,Group,Phone,In-Person Meeting,Weekends,English
1343,42,Female,Married,3153.187574,7/9/2015,17855.7,327.543,Doctorate,Telangana,Teacher,policy4,Mobile App,policy1,Group,Phone,Mail,Evening,Spanish
1344,46,Female,Married,3162.171348,6/13/2020,21262.7,522.543,Master's Degree,Punjab,Nurse,policy3,Chat,policy2,Business,Mail,Mail,Morning,German
1345,42,Male,Separated,7279.076109,2/8/2021,26037.7,67.374,Master's Degree,Kerala,Nurse,policy1,In-Person,policy1,Individual,In-Person Meeting,Phone,Weekends,English
1346,63,Female,Married,5657.343796,3/21/2003,38660.6,358.609,Doctorate,Bihar,Lawyer,policy2,Email,policy5,Business,Phone,Email,Evening,German
1347,39,Female,Married,3134.461455,10/20/2020,40788.6,879.804,High School Diploma,Sikkim,Doctor,policy5,Email,policy1,Individual,Email,Text,Afternoon,English
1348,46,Male,Single,7145.099423,4/17/2022,28929.2,62.394,Master's Degree,Bihar,Doctor,policy3,Chat,policy3,Family,Phone,In-Person Meeting,Morning,German
1349,29,Female,Married,2132.195855,1/19/2024,45369.4,1870.566,Doctorate,Nagaland,Lawyer,policy2,Phone,policy2,Family,Phone,Text,Weekends,Mandarin
1350,35,Male,Married,2184.839333,2/22/2024,17565.7,657.902,High School Diploma,Gujarat,Nurse,policy3,Mobile App,policy5,Business,Text,Mail,Evening,French
1351,47,Female,Divorced,3047.025007,6/17/2020,16293.5,255.249,Bachelor's Degree,Manipur,Manager,policy4,Email,policy4,Individual,Text,Mail,Afternoon,English
1352,35,Male,Separated,8845.464816,12/4/2023,7056.6,20.07,Bachelor's Degree,Haryana,Manager,policy2,Email,policy1,Business,Phone,Phone,Evening,Mandarin
1353,29,Male,Married,1714.967957,1/29/2024,21698.1,885.264,Bachelor's Degree,Gujarat,Doctor,policy2,Email,policy3,Group,Email,In-Person Meeting,Weekends,German
1354,36,Male,Single,10446.44669,2/21/2024,35742.2,91.891,Master's Degree,Uttarakhand,Artist,policy2,Chat,policy1,Group,Mail,Mail,Anytime,Mandarin
1355,30,Male,Single,2143.688924,9/29/2024,17401.9,719.583,Associate Degree,Nagaland,Teacher,policy2,Chat,policy4,Group,Text,Text,Morning,Spanish
1356,58,Male,Married,4955.460577,10/16/1980,48748,327.02,Bachelor's Degree,Daman and Diu,Entrepreneur,policy5,Phone,policy3,Family,In-Person Meeting,Text,Evening,French
1357,36,Male,Divorced,10168.97192,2/14/2023,32153,157.193,Associate Degree,Andaman and Nicobar Islands,Artist,policy3,Chat,policy4,Family,Phone,Mail,Morning,Mandarin
1358,58,Female,Married,4162.099592,11/2/2014,12480.7,116.654,Doctorate,Goa,Lawyer,policy5,Mobile App,policy4,Group,Mail,Email,Morning,German
1359,44,Female,Married,3794.031684,1/23/2022,40647.7,691.434,Associate Degree,Bihar,Lawyer,policy2,In-Person,policy1,Group,In-Person Meeting,Email,Anytime,Spanish
1360,25,Male,Single,7302.809907,3/9/2023,19450.7,63.355,Bachelor's Degree,Andaman and Nicobar Islands,Nurse,policy5,In-Person,policy2,Individual,In-Person Meeting,Text,Evening,German
1361,40,Female,Divorced,5384.473836,2/27/2020,47121.7,935.399,Master's Degree,Bihar,Manager,policy5,Chat,policy1,Group,Phone,In-Person Meeting,Afternoon,Spanish
1362,28,Female,Single,6183.241627,11/15/2022,19054.7,53.53,Associate Degree,Haryana,Nurse,policy3,Email,policy3,Group,Text,Phone,Weekends,English
1363,32,Female,Married,1944.722097,1/24/2025,22429.3,933.052,High School Diploma,Jharkhand,Teacher,policy4,Mobile App,policy5,Family,Mail,Mail,Anytime,Spanish
1364,43,Male,Married,2666.173761,6/5/2018,24722.7,288.526,Bachelor's Degree,Meghalaya,Lawyer,policy5,Chat,policy1,Business,Text,Email,Weekends,French
1365,43,Female,Married,3595.878176,12/9/2018,9981.2,209.235,Associate Degree,Lakshadweep,Artist,policy5,Mobile App,policy3,Business,Mail,Mail,Afternoon,English
1366,27,Male,Divorced,1512.335912,3/18/2025,17877.8,710.908,Associate Degree,Haryana,Manager,policy5,Phone,policy2,Business,Text,In-Person Meeting,Morning,Mandarin
1367,43,Female,Divorced,6829.117817,5/29/2022,19619.2,31.921,Associate Degree,Haryana,Engineer,policy5,Mobile App,policy2,Individual,In-Person Meeting,Mail,Weekends,English
1368,46,Female,Married,3788.036879,8/8/2020,14596.5,115.633,Associate Degree,Gujarat,Artist,policy1,Email,policy3,Individual,Text,In-Person Meeting,Afternoon,English
1369,43,Male,Single,7832.761235,8/31/2023,26690.8,81.956,Associate Degree,Chandigarh,Artist,policy3,Email,policy5,Family,Text,Phone,Morning,German
1370,22,Male,Single,1409.840508,1/2/2023,26785.1,944.048,High School Diploma,Haryana,Lawyer,policy4,Chat,policy2,Group,Email,Mail,Anytime,English
1371,45,Female,Single,4443.07091,8/10/1991,10414.4,70.623,Bachelor's Degree,Chandigarh,Entrepreneur,policy1,Phone,policy4,Family,In-Person Meeting,Mail,Afternoon,German
1372,25,Male,Single,1145.17443,5/6/2023,23442.3,1028.499,Doctorate,Madhya Pradesh,Artist,policy3,Mobile App,policy5,Business,In-Person Meeting,In-Person Meeting,Evening,French
1373,28,Female,Single,1545.575807,2/17/2025,26844.1,876.046,Bachelor's Degree,Puducherry,Entrepreneur,policy5,In-Person,policy2,Family,Mail,Email,Weekends,Spanish
1374,69,Female,Widowed,4563.112796,7/31/2003,10551.4,62.793,Doctorate,Meghalaya,Nurse,policy5,In-Person,policy5,Group,Text,Email,Anytime,Spanish
1375,37,Female,Married,1894.747922,2/28/2019,25019.1,662.681,Bachelor's Degree,Daman and Diu,Doctor,policy3,Phone,policy1,Family,Mail,Text,Morning,German
1376,52,Male,Married,3141.416707,8/16/1992,42395.7,412.905,Bachelor's Degree,Uttar Pradesh,Teacher,policy3,Email,policy3,Group,In-Person Meeting,Phone,Anytime,German
1377,48,Male,Married,5168.208598,9/13/2016,21240.3,151.753,High School Diploma,Karnataka,Salesperson,policy2,Mobile App,policy3,Business,Phone,In-Person Meeting,Anytime,German
1378,27,Female,Married,1257.242782,11/14/2023,16013.3,580.263,Doctorate,Andaman and Nicobar Islands,Teacher,policy3,Phone,policy5,Business,Text,Text,Evening,Mandarin
1379,56,Female,Widowed,5009.227526,4/4/1985,29606,195.909,Doctorate,Dadra and Nagar Haveli,Salesperson,policy1,Mobile App,policy1,Family,Text,Email,Anytime,French
1380,35,Female,Married,1321.110056,11/10/2019,16650.6,262.475,Bachelor's Degree,Mizoram,Artist,policy1,Phone,policy4,Family,Phone,Text,Weekends,Mandarin
1381,32,Male,Divorced,6135.992385,9/5/2023,10467.2,30.394,Doctorate,Tripura,Manager,policy1,Phone,policy1,Business,Mail,Email,Afternoon,Spanish
1382,21,Male,Single,2311.734729,12/28/2024,38567.4,1293.187,High School Diploma,Nagaland,Teacher,policy5,In-Person,policy5,Group,Text,In-Person Meeting,Weekends,English
1383,20,Male,Married,1696.990726,2/27/2025,20261.7,718.95,Doctorate,Nagaland,Lawyer,policy1,Chat,policy5,Group,Text,Email,Afternoon,Mandarin
1384,30,Female,Single,6354.84396,1/14/2023,31283.8,65.379,High School Diploma,Sikkim,Manager,policy3,Phone,policy5,Business,Text,In-Person Meeting,Weekends,Mandarin
1385,43,Male,Single,3213.094711,7/6/2022,27346.1,463.527,Doctorate,Maharashtra,Manager,policy3,Phone,policy3,Family,Mail,Mail,Weekends,German
1386,47,Female,Married,4256.020282,8/28/2019,29462.9,401.221,High School Diploma,Jharkhand,Salesperson,policy2,Mobile App,policy4,Business,In-Person Meeting,Phone,Weekends,English
1387,42,Female,Married,2771.949401,5/15/2020,27920.6,401.338,Doctorate,Chhattisgarh,Doctor,policy5,In-Person,policy4,Business,Email,Email,Afternoon,French
1388,42,Male,Single,3521.899734,2/18/2016,20848.5,449.413,Master's Degree,Jharkhand,Manager,policy1,Chat,policy1,Group,Text,Text,Weekends,German
1389,52,Female,Divorced,9442.284843,12/18/2022,17713.5,55.753,Doctorate,Mizoram,Salesperson,policy4,Phone,policy2,Individual,Phone,In-Person Meeting,Morning,German
1390,46,Female,Divorced,10650.85544,5/27/2021,6715.2,21.332,High School Diploma,Karnataka,Nurse,policy5,Phone,policy5,Family,In-Person Meeting,Phone,Morning,Mandarin
1391,42,Female,Single,9137.74837,8/10/2021,33374.8,85.833,Master's Degree,Madhya Pradesh,Entrepreneur,policy1,Mobile App,policy2,Family,Text,In-Person Meeting,Morning,French
1392,31,Male,Divorced,6889.116763,2/5/2021,14189.1,33.742,Doctorate,Chandigarh,Doctor,policy3,Email,policy1,Group,Email,Phone,Evening,Spanish
1393,39,Female,Married,3180.373159,11/3/2021,12460.1,197.705,Associate Degree,Meghalaya,Teacher,policy2,Phone,policy2,Group,Email,In-Person Meeting,Weekends,English
1394,37,Female,Single,1344.327913,9/22/2023,8475.4,394.245,Doctorate,Punjab,Salesperson,policy1,Phone,policy1,Business,Mail,In-Person Meeting,Morning,Mandarin
1395,55,Female,Married,5328.12517,12/19/2003,8332.4,61.172,High School Diploma,Madhya Pradesh,Salesperson,policy4,In-Person,policy5,Business,In-Person Meeting,Phone,Weekends,Mandarin
1396,25,Male,Single,1642.754431,9/8/2024,49373.3,1752.561,Bachelor's Degree,Assam,Lawyer,policy1,Chat,policy3,Individual,Email,Text,Afternoon,German
1397,29,Male,Single,6075.248389,1/21/2021,43326.7,154.897,High School Diploma,Nagaland,Artist,policy4,Mobile App,policy1,Individual,Email,Phone,Evening,Spanish
1398,44,Female,Married,5016.428616,2/7/1979,25367.5,192.905,High School Diploma,Delhi,Manager,policy5,Email,policy3,Family,Email,In-Person Meeting,Anytime,German
1399,52,Male,Widowed,4769.764927,7/7/2003,12641.1,103.553,High School Diploma,Daman and Diu,Manager,policy4,Chat,policy4,Business,In-Person Meeting,Phone,Evening,Spanish
1400,42,Female,Married,6574.628996,3/13/2022,39107.3,362.354,Bachelor's Degree,Sikkim,Manager,policy2,Mobile App,policy5,Individual,In-Person Meeting,Mail,Morning,French
1401,55,Male,Widowed,6529.88492,11/1/1992,21244.8,180.702,Bachelor's Degree,Madhya Pradesh,Lawyer,policy3,In-Person,policy1,Family,In-Person Meeting,In-Person Meeting,Morning,English
1402,20,Female,Single,2164.907805,3/1/2024,43097.5,1986.785,Associate Degree,Maharashtra,Entrepreneur,policy4,In-Person,policy2,Business,Phone,Mail,Afternoon,Mandarin
1403,54,Female,Married,5439.950726,9/11/2012,38912.5,199.423,Associate Degree,Lakshadweep,Engineer,policy2,Phone,policy2,Family,Text,Mail,Weekends,German
1404,57,Female,Married,5413.462082,5/9/1999,30301.7,156.487,Doctorate,Meghalaya,Teacher,policy3,Chat,policy5,Group,Text,Text,Evening,German
1405,26,Male,Single,7625.275883,12/21/2023,49120.9,125.38,Associate Degree,Bihar,Teacher,policy3,Chat,policy3,Individual,Mail,Mail,Evening,French
1406,46,Female,Married,3410.266845,12/24/2023,48797.3,522.045,High School Diploma,Andhra Pradesh,Salesperson,policy3,Email,policy2,Group,Email,Mail,Morning,German
1407,45,Male,Single,7596.19011,5/2/2022,36209.4,139.034,Associate Degree,Haryana,Teacher,policy3,Mobile App,policy1,Individual,Mail,In-Person Meeting,Weekends,English
1408,20,Female,Married,2575.755237,5/18/2024,27789.7,950.776,Associate Degree,Andhra Pradesh,Manager,policy4,In-Person,policy1,Business,Email,Phone,Morning,Spanish
1409,28,Male,Married,2296.969406,8/4/2024,23373.4,804.131,Associate Degree,West Bengal,Artist,policy1,Email,policy5,Group,Mail,Mail,Evening,French
1410,40,Female,Married,2291.012215,11/22/2015,46082.7,672.223,High School Diploma,Goa,Engineer,policy4,In-Person,policy3,Individual,Mail,In-Person Meeting,Morning,Spanish
1411,48,Female,Divorced,6371.36756,6/23/2022,38081,89.714,Bachelor's Degree,Tripura,Engineer,policy3,Mobile App,policy3,Family,Mail,In-Person Meeting,Evening,German
1412,27,Female,Separated,1943.139896,4/25/2023,24480.6,977.205,Bachelor's Degree,Chhattisgarh,Artist,policy1,Phone,policy3,Business,Email,Mail,Weekends,French
1413,42,Female,Divorced,2823.368933,11/2/2017,29913.4,878.303,Associate Degree,Uttar Pradesh,Salesperson,policy3,Phone,policy5,Group,Email,Mail,Weekends,French
1414,42,Male,Married,8365.253103,7/9/2023,15219.2,68.38,Bachelor's Degree,Odisha,Artist,policy5,Email,policy1,Individual,Email,Mail,Weekends,German
1415,40,Male,Single,11661.11335,10/9/2020,12894.7,39.387,High School Diploma,Maharashtra,Manager,policy3,Mobile App,policy5,Family,Mail,Phone,Morning,French
1416,38,Female,Divorced,2410.773759,6/10/2023,20351.2,386.282,Associate Degree,Chhattisgarh,Doctor,policy3,Mobile App,policy5,Business,Email,Phone,Afternoon,German
1417,53,Male,Divorced,8961.60693,8/23/2021,35356.4,81.939,Master's Degree,Andaman and Nicobar Islands,Artist,policy3,Phone,policy2,Group,Mail,Email,Morning,German
1418,22,Female,Single,1491.204614,12/17/2023,36300.3,1385.548,Master's Degree,Madhya Pradesh,Teacher,policy3,Mobile App,policy5,Family,Mail,In-Person Meeting,Anytime,German
1419,63,Male,Married,4622.721621,11/19/1992,16036.1,105.482,Master's Degree,Mizoram,Lawyer,policy5,Chat,policy1,Family,Mail,Email,Morning,English
1420,43,Female,Married,3686.071351,9/24/2016,26952.6,556.233,Associate Degree,Andaman and Nicobar Islands,Entrepreneur,policy5,In-Person,policy4,Individual,Phone,In-Person Meeting,Afternoon,French
1421,37,Male,Married,2094.444272,2/7/2023,32930.3,1352.894,Doctorate,Arunachal Pradesh,Lawyer,policy2,Chat,policy1,Individual,In-Person Meeting,Text,Afternoon,German
1422,42,Male,Married,1407.168499,4/8/2016,15460.1,182.391,High School Diploma,Himachal Pradesh,Nurse,policy4,Phone,policy3,Family,Phone,Text,Evening,Mandarin
1423,38,Female,Single,8501.064839,11/25/2023,39312.5,111.039,Bachelor's Degree,Manipur,Nurse,policy4,Phone,policy1,Business,Mail,In-Person Meeting,Morning,French
1424,20,Male,Single,2234.831307,2/3/2025,24748.4,997.27,Master's Degree,Kerala,Teacher,policy2,Phone,policy4,Individual,Phone,In-Person Meeting,Anytime,Mandarin
1425,44,Male,Separated,12239.32835,2/6/2024,9134,44.129,Bachelor's Degree,Assam,Engineer,policy4,Phone,policy3,Family,Text,In-Person Meeting,Afternoon,French
1426,39,Male,Married,3830.553217,12/14/2018,43407.3,586.105,Doctorate,Daman and Diu,Artist,policy3,Phone,policy5,Group,In-Person Meeting,In-Person Meeting,Evening,French
1427,45,Female,Married,3282.790657,2/18/2016,5746.1,70.93,Associate Degree,Haryana,Artist,policy5,Phone,policy2,Family,Text,In-Person Meeting,Anytime,French
1428,23,Female,Single,8488.030158,2/2/2024,16537.7,54.71,Doctorate,Kerala,Manager,policy2,Chat,policy3,Group,Email,Phone,Weekends,German
1429,40,Female,Married,4552.101702,2/20/2022,36079.5,829.474,Associate Degree,Andaman and Nicobar Islands,Manager,policy5,Mobile App,policy5,Individual,Text,In-Person Meeting,Morning,German
1430,25,Male,Single,1742.034214,6/9/2024,28962.9,1182.633,High School Diploma,Jharkhand,Artist,policy1,Chat,policy2,Business,In-Person Meeting,Mail,Morning,Spanish
1431,49,Male,Divorced,8579.643182,4/24/2022,47391.3,141.194,Associate Degree,Dadra and Nagar Haveli,Doctor,policy1,In-Person,policy2,Family,Mail,Mail,Weekends,Spanish
1432,23,Male,Single,2627.179863,6/22/2023,22926.2,800.767,Bachelor's Degree,Rajasthan,Artist,policy3,Mobile App,policy1,Family,In-Person Meeting,Mail,Afternoon,German
1433,37,Female,Single,3421.944002,8/9/2016,23682.3,416.354,Doctorate,West Bengal,Salesperson,policy5,Email,policy1,Group,Text,Mail,Weekends,Spanish
1434,25,Male,Single,1062.281139,11/20/2022,33824.9,1043.223,Master's Degree,Madhya Pradesh,Lawyer,policy3,Chat,policy2,Family,Text,Email,Weekends,Mandarin
1435,20,Female,Married,1582.791348,9/22/2023,38784.1,1190.913,Associate Degree,Bihar,Artist,policy1,Chat,policy1,Group,Email,In-Person Meeting,Morning,English
1436,37,Male,Separated,8793.621745,11/19/2023,15624.2,23.395,Bachelor's Degree,Himachal Pradesh,Salesperson,policy4,Phone,policy4,Group,Phone,Text,Weekends,English
1437,58,Female,Single,5122.93928,4/20/1990,9917.8,64.444,Associate Degree,Puducherry,Nurse,policy3,In-Person,policy3,Family,In-Person Meeting,Mail,Weekends,Mandarin
1438,53,Male,Separated,5843.741755,12/20/2022,6691.1,28.39,Doctorate,Manipur,Salesperson,policy2,Mobile App,policy1,Individual,Mail,Mail,Weekends,German
1439,49,Female,Married,6304.363618,2/17/1999,22942.5,192.426,Associate Degree,Mizoram,Nurse,policy3,Phone,policy2,Group,Text,Mail,Weekends,German
1440,42,Female,Married,2642.092642,2/17/2020,6729.7,175.486,High School Diploma,Dadra and Nagar Haveli,Manager,policy3,Chat,policy2,Business,Mail,Phone,Anytime,German
1441,48,Female,Single,7564.669418,12/18/2020,33212.1,137.036,Master's Degree,Puducherry,Entrepreneur,policy1,Mobile App,policy5,Family,Email,Mail,Weekends,English
1442,52,Male,Divorced,5753.145461,11/18/1976,33335.3,211.051,High School Diploma,Arunachal Pradesh,Artist,policy2,Mobile App,policy5,Family,Mail,In-Person Meeting,Evening,French
1443,40,Female,Single,8627.111905,4/13/2023,38409.1,137.416,Doctorate,Dadra and Nagar Haveli,Entrepreneur,policy5,Mobile App,policy3,Group,Mail,Phone,Afternoon,Spanish
1444,22,Male,Married,2012.267558,3/8/2025,11595.3,349.613,Bachelor's Degree,Meghalaya,Salesperson,policy3,Phone,policy1,Family,Mail,Text,Anytime,German
1445,61,Female,Married,5260.798836,10/24/2018,39898.4,199.928,Associate Degree,Himachal Pradesh,Lawyer,policy1,In-Person,policy5,Family,In-Person Meeting,Mail,Afternoon,French
1446,42,Female,Married,1666.647785,6/24/2021,39295.1,772.684,Master's Degree,Rajasthan,Teacher,policy5,Email,policy5,Group,Email,Mail,Anytime,French
1447,44,Female,Divorced,5462.419582,3/27/1983,31503.9,174.409,Master's Degree,Tripura,Entrepreneur,policy1,Mobile App,policy2,Family,Text,Email,Afternoon,French
1448,36,Male,Married,3577.480965,6/27/2021,9509.5,269.765,Doctorate,Maharashtra,Salesperson,policy3,Phone,policy1,Group,Phone,Phone,Evening,French
1449,50,Male,Divorced,9114.012863,10/2/2020,36307.8,161.361,Bachelor's Degree,Nagaland,Lawyer,policy3,Chat,policy2,Group,Email,Mail,Evening,German
1450,37,Male,Single,8371.710039,9/22/2023,46515.8,165.211,Associate Degree,Odisha,Manager,policy4,Mobile App,policy3,Family,Mail,Email,Morning,French
1451,35,Male,Married,3638.432909,10/29/2015,8177.8,116.928,Doctorate,Gujarat,Entrepreneur,policy1,Chat,policy1,Family,Text,In-Person Meeting,Morning,German
1452,55,Female,Married,3414.396081,3/19/1984,17964.8,156.009,Master's Degree,Rajasthan,Teacher,policy4,Mobile App,policy2,Family,Text,Phone,Weekends,Spanish
1453,35,Female,Separated,8438.401747,2/15/2022,12257.7,37.594,Doctorate,Goa,Salesperson,policy2,Chat,policy4,Group,Email,Phone,Anytime,German
1454,38,Female,Divorced,2050.569161,7/24/2023,20153.8,253.263,Master's Degree,Chhattisgarh,Teacher,policy2,Email,policy3,Family,Mail,Phone,Morning,German
1455,45,Female,Divorced,7126.59769,6/8/2021,17978.9,85.014,Associate Degree,Rajasthan,Artist,policy2,Phone,policy3,Family,Phone,Mail,Anytime,German
1456,54,Female,Married,6120.77593,9/27/2018,9087,49.737,Doctorate,Tamil Nadu,Artist,policy2,Phone,policy1,Family,Text,Phone,Weekends,French
1457,36,Male,Divorced,4417.921752,2/14/2021,45944.2,64.511,Associate Degree,Lakshadweep,Doctor,policy4,Email,policy1,Business,Mail,In-Person Meeting,Anytime,French
1458,43,Female,Divorced,9665.92879,11/27/2023,17053.3,68.417,High School Diploma,Kerala,Engineer,policy3,Email,policy3,Group,Phone,In-Person Meeting,Morning,Spanish
1459,50,Male,Divorced,2755.764371,3/23/2024,38993.3,503.268,Doctorate,Nagaland,Salesperson,policy2,Mobile App,policy3,Individual,Email,Mail,Evening,French
1460,30,Female,Single,1824.786403,1/25/2024,43231.8,1312.855,High School Diploma,Gujarat,Engineer,policy4,Email,policy5,Group,In-Person Meeting,Email,Morning,English
1461,53,Male,Married,5347.493886,9/30/1994,9863.9,59.165,High School Diploma,Andhra Pradesh,Engineer,policy3,In-Person,policy5,Group,Text,Mail,Morning,German
1462,47,Female,Married,3540.944093,11/4/2021,17175.9,381.342,Doctorate,Sikkim,Lawyer,policy4,In-Person,policy1,Family,Email,Mail,Afternoon,German
1463,22,Male,Single,1235.746191,5/16/2024,21815.2,720.956,Bachelor's Degree,Lakshadweep,Lawyer,policy4,Chat,policy5,Individual,Phone,Phone,Morning,Spanish
1464,28,Male,Married,1250.733123,2/18/2024,15457.3,555.705,Bachelor's Degree,Daman and Diu,Salesperson,policy4,Chat,policy2,Business,Phone,Mail,Evening,German
1465,63,Male,Separated,6942.158045,12/10/2023,23301.1,80.081,Doctorate,Kerala,Engineer,policy1,Chat,policy5,Group,Text,Text,Weekends,German
1466,44,Female,Divorced,3774.75248,12/14/2022,38938.4,723.053,Associate Degree,Chandigarh,Manager,policy4,Chat,policy2,Group,Email,Mail,Evening,Spanish
